time (s),power (W)
0,-68.91503589
1,-67.68627447
2,-72.13421106
3,-74.82281907
4,-74.32430416
5,-78.7811477
6,-75.19173714
7,-76.14907541
8,-76.38898441
9,-84.12311576
10,-64.50777424
11,-62.62020996
12,-63.22731083
13,-60.68448207
14,-67.14576124
15,-62.35148615
16,-62.31561519
17,-63.43078788
18,-62.98795979
19,-62.52275519
20,-60.0844395
21,-62.36761354
22,-64.91966672
23,-63.94881341
24,-64.39708588
25,-59.98660494
26,-59.12107787
27,-60.68394315
28,-61.012344
29,-62.89119301
30,-57.24634213
31,-63.07578291
32,-60.02256285
33,-59.53610321
34,-58.47728608
35,-56.71130006
36,-61.19467874
37,-59.83800551
38,-57.37148889
39,-57.36222937
40,-58.49475082
41,-62.12195285
42,-58.63260388
43,-56.3827042
44,-58.05457455
45,-58.00575998
46,-53.61983525
47,-58.4009528
48,-58.08136693
49,-59.15571515
50,-61.24133126
51,-59.93434293
52,-57.40961386
53,-55.89411606
54,-61.94887657
55,-57.40015832
56,-57.3182188
57,-57.24936879
58,-57.65140266
59,-56.42874826
60,-55.65203298
61,-55.70052651
62,-56.63067383
63,-55.7067398
64,-54.7971299
65,-56.27940763
66,-55.62553006
67,-58.80795249
68,-51.29057286
69,-57.45857624
70,-57.7382476
71,-51.73247615
72,-54.86375539
73,-54.20864905
74,-52.33413461
75,-53.4734123
76,-52.87136674
77,-58.05098048
78,-55.97047433
79,-56.57816032
80,-55.5832827
81,-52.23485472
82,-53.32860527
83,-54.55991331
84,-51.46337222
85,-54.96450551
86,-53.23970134
87,-52.9963651
88,-54.35773302
89,-53.87521125
90,-52.41834726
91,-55.16894757
92,-51.11550918
93,-53.5827255
94,-53.54141238
95,-51.90829417
96,-53.05839926
97,-50.20476084
98,-53.53705648
99,-51.53072288
100,-50.91951937
101,-53.76318093
102,-50.5909216
103,-48.7139102
104,-48.44583699
105,-52.3585987
106,-48.9455524
107,-53.83395582
108,-46.89235149
109,-53.72840795
110,-51.0408729
111,-50.48411037
112,-49.0701079
113,-50.77814277
114,-49.98791378
115,-52.05215692
116,-50.26267122
117,-49.72485403
118,-48.79505354
119,-49.34989104
120,-45.78822068
121,-41.53411737
122,-42.18903621
123,-45.97299788
124,-44.9373838
125,-44.29537253
126,-44.66159661
127,-45.25710827
128,-43.65168305
129,-43.22009467
130,-44.98257861
131,-42.85812091
132,-45.36687756
133,-41.54784017
134,-46.49024807
135,-45.48329346
136,-45.09146757
137,-46.40618174
138,-47.64150989
139,-46.46349722
140,-41.29763742
141,-42.31316627
142,-43.49778997
143,-44.67545028
144,-45.56482119
145,-43.31519066
146,-44.96615332
147,-43.26156599
148,-43.52185444
149,-41.48015452
150,-42.35479789
151,-41.57962091
152,-42.25955879
153,-45.93146534
154,-42.30745762
155,-48.78780618
156,-44.91769755
157,-44.35957591
158,-42.47217403
159,-45.29219844
160,-42.98368601
161,-44.24590722
162,-48.65700165
163,-43.85136389
164,-46.10448698
165,-42.75293639
166,-43.96185753
167,-47.22898724
168,-42.89081843
169,-47.30433888
170,-45.30566301
171,-43.00751577
172,-45.16934628
173,-45.7847578
174,-45.15017222
175,-41.18422651
176,-42.70958533
177,-42.9742523
178,-43.28740726
179,-44.54502914
180,-43.74358228
181,-41.00610016
182,-44.10995035
183,-44.52678038
184,-44.43487882
185,-45.37748214
186,-44.93085248
187,-44.2528492
188,-43.29512864
189,-40.41697734
190,-44.19936431
191,-43.79783579
192,-43.91343105
193,-41.11211477
194,-41.4661712
195,-45.32749632
196,-43.35051089
197,-44.65508348
198,-43.47331129
199,-43.47591257
200,-45.11966913
201,-42.48842062
202,-43.595983
203,-42.58570315
204,-42.6359625
205,-42.86270553
206,-43.22088802
207,-41.95281432
208,-45.09097254
209,-41.20042069
210,-42.48089367
211,-42.02340698
212,-45.43694112
213,-43.17460914
214,-44.6858598
215,-40.13123697
216,-43.30215333
217,-44.42855913
218,-42.96786436
219,-44.74671554
220,-41.88308602
221,-45.36885812
222,-46.97828052
223,-42.16252497
224,-42.01296494
225,-45.44853227
226,-45.67683771
227,-41.87300562
228,-42.05876746
229,-42.30917209
230,-40.38654043
231,-41.15691784
232,-41.00224692
233,-41.42985161
234,-42.15315365
235,-42.63966115
236,-45.02115533
237,-40.40963218
238,-43.99679582
239,-41.8287474
240,-42.12641502
241,-43.43682671
242,-40.18461902
243,-42.90778344
244,-42.51706158
245,-43.10687641
246,-42.73908668
247,-46.65816697
248,-41.06207431
249,-41.25519947
250,-41.08848842
251,-41.21090866
252,-41.06271271
253,-44.36713933
254,-44.78595922
255,-41.18328285
256,-40.70996543
257,-43.06881749
258,-41.2167961
259,-43.3610413
260,-42.58304652
261,-39.47354255
262,-45.01573609
263,-44.86202039
264,-40.50413312
265,-40.91137273
266,-42.13002587
267,-42.21794001
268,-42.80429632
269,-45.24979195
270,-41.29268067
271,-40.16850118
272,-39.11728531
273,-40.29038551
274,-41.55288792
275,-44.85963252
276,-40.67633312
277,-42.01771207
278,-41.58310983
279,-43.76292731
280,-46.18468352
281,-40.65234699
282,-40.72730314
283,-43.50197439
284,-42.84653735
285,-44.9539841
286,-42.66929693
287,-40.96277265
288,-42.68146713
289,-43.61874848
290,-43.097283
291,-41.92752577
292,-42.93962318
293,-43.12529037
294,-43.51041416
295,-42.18341904
296,-40.7073797
297,-41.27518082
298,-43.19261879
299,-39.53169516
300,-41.67676197
301,-40.29808912
302,-41.06174528
303,-43.3227817
304,-41.35548521
305,-41.09375409
306,-38.54941457
307,-42.35990025
308,-42.17758292
309,-44.92361409
310,-40.45288987
311,-41.40623704
312,-41.46093684
313,-43.86375097
314,-40.83732487
315,-41.5145592
316,-42.1095773
317,-41.34736176
318,-40.20202718
319,-41.36089655
320,-42.34912587
321,-38.54942816
322,-40.64723003
323,-39.13995842
324,-42.56879613
325,-37.65082348
326,-39.3954231
327,-41.089126
328,-43.23908354
