time,c_rate
0,-4.195740389
1,-4.120929953
2,-4.391732789
3,-4.555422773
4,-4.525071791
5,-4.796416907
6,-4.57788354
7,-4.636168976
8,-4.650775307
9,-5.121650884
10,-3.927413958
11,-3.812493758
12,-3.849455758
13,-3.694641222
14,-4.088021993
15,-3.7961331
16,-3.793949173
17,-3.861844011
18,-3.834883396
19,-3.806560438
20,-3.658108949
21,-3.79711498
22,-3.952491124
23,-3.893382856
24,-3.92067494
25,-3.652152507
26,-3.599456796
27,-3.694608411
28,-3.714602373
29,-3.828991964
30,-3.485317633
31,-3.840230313
32,-3.654341727
33,-3.6247247
34,-3.560260949
35,-3.452742773
36,-3.725703424
37,-3.643105358
38,-3.492936918
39,-3.492373173
40,-3.561324251
41,-3.782158469
42,-3.569717131
43,-3.432736938
44,-3.534525087
45,-3.53155312
46,-3.264525738
47,-3.555613564
48,-3.536156282
49,-3.601565611
50,-3.72854376
51,-3.648970651
52,-3.495258073
53,-3.402990322
54,-3.7716211
55,-3.494682393
56,-3.489693687
57,-3.485501904
58,-3.509978853
59,-3.435540229
60,-3.388251627
61,-3.391204049
62,-3.447834022
63,-3.391582331
64,-3.336202733
65,-3.426447953
66,-3.386638056
67,-3.580392847
68,-3.12271372
69,-3.49823904
70,-3.515266216
71,-3.149618031
72,-3.34025908
73,-3.300374371
74,-3.186248682
75,-3.2556111
76,-3.21895688
77,-3.534306269
78,-3.407639229
79,-3.444636853
80,-3.384065918
81,-3.180204244
82,-3.246794842
83,-3.321760322
84,-3.133234229
85,-3.346393029
86,-3.241382122
87,-3.226567129
88,-3.30945102
89,-3.280073744
90,-3.191375784
91,-3.358840036
92,-3.112055353
93,-3.262266393
94,-3.259751133
95,-3.160322324
96,-3.230343942
97,-3.056606444
98,-3.259485936
99,-3.137334727
100,-3.100122944
101,-3.273253024
102,-3.080116993
103,-2.965839282
104,-2.949518233
105,-3.187738124
106,-2.979942307
107,-3.277561998
108,-2.854937687
109,-3.271135949
110,-3.107511287
111,-3.073614027
112,-2.987525596
113,-3.091515542
114,-3.043404187
115,-3.169081091
116,-3.060132189
117,-3.027388373
118,-2.970779516
119,-3.004559576
120,-2.787715109
121,-2.528713387
122,-2.56858668
123,-2.798964862
124,-2.735913778
125,-2.696826333
126,-2.719123082
127,-2.7553795
128,-2.657636716
129,-2.631360407
130,-2.738665364
131,-2.609322429
132,-2.76206256
133,-2.529548869
134,-2.830456504
135,-2.769150287
136,-2.745294829
137,-2.825338309
138,-2.900548547
139,-2.828827838
140,-2.514315824
141,-2.576144064
142,-2.648267273
143,-2.719966531
144,-2.774113922
145,-2.637150116
146,-2.737665347
147,-2.633885296
148,-2.649732387
149,-2.525427978
150,-2.578678716
151,-2.531483769
152,-2.572880291
153,-2.796436247
154,-2.575796507
155,-2.970338276
156,-2.734715224
157,-2.700735216
158,-2.585824902
159,-2.757515887
160,-2.616967184
161,-2.693814747
162,-2.962374529
163,-2.669793844
164,-2.806970289
165,-2.602918502
166,-2.676521007
167,-2.875433013
168,-2.611313147
169,-2.880020631
170,-2.758335647
171,-2.618418007
172,-2.750036302
173,-2.78750428
174,-2.748868933
175,-2.507411051
176,-2.600279167
177,-2.616392833
178,-2.635458584
179,-2.712026127
180,-2.663231798
181,-2.49656622
182,-2.685537311
183,-2.710915091
184,-2.705319867
185,-2.762708198
186,-2.735516133
187,-2.694237393
188,-2.635928684
189,-2.460698773
190,-2.690981084
191,-2.666534904
192,-2.673572667
193,-2.503020687
194,-2.524576633
195,-2.75966492
196,-2.639300511
197,-2.718726544
198,-2.646776942
199,-2.646935316
200,-2.74701182
201,-2.58681404
202,-2.65424554
203,-2.592736873
204,-2.595796804
205,-2.609601553
206,-2.631408707
207,-2.554204829
208,-2.745264691
209,-2.508396998
210,-2.58635578
211,-2.558502709
212,-2.766328227
213,-2.62859112
214,-2.720600293
215,-2.443302098
216,-2.636356367
217,-2.704935107
218,-2.616003918
219,-2.72430536
220,-2.549959576
221,-2.762183142
222,-2.860169287
223,-2.5669726
224,-2.557866967
225,-2.767033929
226,-2.780933802
227,-2.549345851
228,-2.560655553
229,-2.575900889
230,-2.458845689
231,-2.505748422
232,-2.496331624
233,-2.522365396
234,-2.566402049
235,-2.596021989
236,-2.741014022
237,-2.460251578
238,-2.678648147
239,-2.546651287
240,-2.564774127
241,-2.64455566
242,-2.446552147
243,-2.612346024
244,-2.588557782
245,-2.624467362
246,-2.602075293
247,-2.840679876
248,-2.499974082
249,-2.511732084
250,-2.501582249
251,-2.509035536
252,-2.500012951
253,-2.701195698
254,-2.726694624
255,-2.507353598
256,-2.478536709
257,-2.622150227
258,-2.509393978
259,-2.639941631
260,-2.592575131
261,-2.40325982
262,-2.740684084
263,-2.731325442
264,-2.46600506
265,-2.490798949
266,-2.564993964
267,-2.570346424
268,-2.606045438
269,-2.75493406
270,-2.514014044
271,-2.445570849
272,-2.381569882
273,-2.452991507
274,-2.529856189
275,-2.731180062
276,-2.476489078
277,-2.558155987
278,-2.531696184
279,-2.664409578
280,-2.811852878
281,-2.475028736
282,-2.479592276
283,-2.648522033
284,-2.608617191
285,-2.736924451
286,-2.597826298
287,-2.49392832
288,-2.598567253
289,-2.655631567
290,-2.623883287
291,-2.552665191
292,-2.614284516
293,-2.625588456
294,-2.649035869
295,-2.568244691
296,-2.478379282
297,-2.512948604
298,-2.629687598
299,-2.406800313
300,-2.537397989
