time,power
0,-37.9553229
1,-71.11103932
2,-82.0580866
3,-95.66796037
4,-100.5593105
5,-96.85809987
6,-65.57135998
7,-61.48829502
8,-96.80832466
9,-54.9595165
10,-78.24969508
11,-67.60502461
12,-42.83897963
13,-54.92907918
14,-74.62408466
15,-85.14720055
16,-106.452006
17,-82.23970567
18,-73.65400528
19,-86.7694068
20,-72.30412964
21,-68.78704488
22,-73.88597332
23,-81.07104317
24,-67.23555781
25,-62.61696543
26,-88.51383961
27,-46.24079475
28,-71.75201924
29,-69.76729567
30,-58.11688083
31,-66.14445512
32,-53.97764228
33,-65.23339764
34,-80.43618303
35,-63.97637031
36,-89.41507969
37,-68.25117579
38,-70.64745245
39,-73.60307848
40,-72.25817025
41,-101.889516
42,-79.3594285
43,-68.5167594
44,-67.38425065
45,-87.45379146
46,-48.695121
47,-84.72440144
48,-53.70182116
49,-62.8661809
50,-48.5598062
51,-27.51629482
52,-85.87369107
53,-14.04205734
54,-0.9104525
55,-31.94970615
56,-46.71785181
57,-59.61831191
58,-32.55816778
59,-14.97564293
60,-62.42708761
61,-38.22589719
62,-64.32914842
63,-109.8093429
64,-1.901644324
65,-36.79908262
66,-31.29240697
67,0.451041744
68,-55.0232467
69,-71.75226499
70,-55.27906614
71,-7.238272483
72,-52.93411138
73,10.3162842
74,-98.02223697
75,-0.095049066
76,-53.78435994
77,-58.64227543
78,-72.60192353
79,-116.0634741
80,-36.57606058
81,-9.40878856
82,-26.15288051
83,-71.2660455
84,-69.83575589
85,-56.05555041
86,-34.74368363
87,-30.34086036
88,-69.58337292
89,-32.57903666
90,-34.77007781
91,-19.46004158
92,-73.78051941
93,-57.76212821
94,-59.20975339
95,-94.00585292
96,-42.79607774
97,-12.38790809
98,-37.10089271
99,-58.29408339
100,-74.62421415
101,-64.15804288
102,-36.50562087
103,-62.9681887
104,-53.05887415
105,-27.83009186
106,-20.39407054
107,-60.87234618
108,-59.68124141
109,-46.39517861
110,-71.23551691
111,-9.757747621
112,-34.25218902
113,30.79584996
114,-82.55488579
115,-47.44152893
116,-61.01074376
117,-89.97948622
118,-17.52728547
119,-33.62239007
120,-57.99844104
121,-59.57813999
122,-25.52707833
123,-81.98055566
124,4.78069524
125,-0.853719742
126,-117.2553497
127,-67.43322405
128,-25.32378807
129,-27.74201767
130,-110.9753918
131,-36.40746287
132,-84.36874043
133,-35.23760298
134,-27.80938341
135,-28.67303727
136,-64.39364194
137,-47.84857255
138,-5.567459895
139,-79.57444189
140,-35.14109467
141,-16.69796265
142,-87.24033878
143,-47.3478406
144,-28.93356218
145,-31.05250971
146,-75.02792798
147,-84.23658758
148,-13.06112274
149,-39.26670038
150,-69.6661368
151,-15.68471011
152,-81.09502472
153,-51.26161881
154,-48.57461648
155,-43.52197625
156,-30.51150036
157,19.58832088
158,-62.27372745
159,-24.54507017
160,-74.97618673
161,-19.83257968
162,-5.436357105
163,-58.82691196
164,-10.32645226
165,-33.63793039
166,-27.01305097
167,3.894888811
168,-56.89719256
169,-48.69344316
170,-61.62962102
171,-119.2878178
172,-37.80053582
173,-33.86885001
174,-39.28324277
175,-30.10041261
176,-27.36165699
177,10.0383708
178,-67.20518657
179,36.41352287
180,-45.60494218
181,-94.06960145
182,-87.33733079
183,-18.62347127
184,-36.88051778
185,-18.03611556
186,-21.20272326
187,-40.04209118
188,-81.30438971
189,-81.89206802
190,-45.71456427
191,-9.967640454
192,-20.62903388
193,-69.6768854
194,-35.92934102
195,-17.83601443
196,-71.95048348
197,-57.31819632
198,-47.8479295
199,-91.35534384
200,-48.10423137
201,-33.44507655
202,-29.75334393
203,-22.38587377
204,-117.3484608
205,-69.41050479
206,-32.26485728
207,-46.12922915
208,-21.14348694
209,77.13003082
210,-57.88747583
211,-27.77928294
212,-32.97776535
213,-44.34714613
214,-41.54396688
215,-28.72240571
216,-72.85991128
217,-87.22866888
218,-49.59205124
219,-65.37235387
220,19.17890188
221,-94.38372865
222,-4.48962601
223,-114.0546851
224,-110.9846168
225,-13.08879343
226,-14.49282747
227,-55.99931031
228,-63.23368573
229,-35.98058727
230,-53.55870735
231,-57.10877338
232,-37.39577923
233,-56.448538
234,31.29793684
235,17.68645193
236,-96.86553315
237,-50.09837712
238,-65.70886601
239,-52.7242638
240,-80.68250689
241,-56.85742848
242,-41.42412657
243,-19.87819679
244,-94.27250267
245,-37.15576635
246,-60.03518608
247,-65.19673907
248,-2.772047163
249,-32.74775299
250,-68.12761944
251,-35.64693758
252,1.647038295
253,-22.91245583
254,-112.0639558
255,-74.14472561
256,-19.25511962
257,-51.78558732
258,-29.84437587
259,-21.73583702
260,-58.32943235
261,-50.71427292
262,-130.9917664
263,-77.1864105
264,-49.31980654
265,-91.55343563
266,-42.17686624
267,-89.08632704
268,-35.01551134
269,-27.40543791
270,9.996671815
271,-66.08648049
272,-12.61704104
273,-43.10235014
274,-84.6783073
275,-39.11083804
276,-30.73673158
277,-43.20468317
278,-47.12372232
279,-65.13421562
280,-43.53259874
281,-18.00098229
282,-26.66242557
283,-120.2312071
284,3.770092101
285,-122.0797103
286,-59.56678076
287,-32.72833851
288,-46.50647964
289,-39.63386096
290,-47.03641874
291,-55.46678114
292,-52.73092369
293,-42.15239571
294,-19.153996
295,-67.429604
296,-10.17294576
297,-56.22358534
298,-50.19471044
299,-15.2501616
300,-77.74162733
301,-99.34789725
302,-98.80052502
303,-65.08293779
304,-104.2043494
305,-56.34150041
306,-99.32371608
307,-73.31406788
308,-89.65675368
309,-73.90903149
310,-93.29867488
311,-86.85426554
312,-83.41148712
313,-101.0402157
314,-71.58293774
315,-92.7764508
316,-87.96641829
317,-100.9077505
318,-127.4070254
319,-87.33144075
320,-43.32930548
321,-70.84304721
322,-84.42853467
323,-88.54594218
324,-83.7233516
325,-74.8565982
326,-104.0590231
327,-65.27075142
328,-72.01293047
329,-71.96553533
330,-76.69269486
331,-83.77150429
332,-72.73152905
333,-74.10124268
334,-90.08639498
335,-93.79702461
336,-82.38163656
337,-57.9242531
338,-105.0442088
339,-108.9045258
340,-81.31853607
341,-83.24301686
342,-81.1735183
343,-79.98016804
344,-87.87519665
345,-58.92401439
346,-111.158655
347,-98.10480972
348,-85.84805794
349,-111.8732778
350,-40.97979378
351,22.7159438
352,-22.32699505
353,-47.30878185
354,-68.55407071
355,-85.24579968
356,-53.58380952
357,-60.18571513
358,-16.01664419
359,-60.48968186
360,-50.94824795
361,0.41140766
362,-41.35286919
363,-16.19341488
364,-0.664691102
365,-75.12717036
366,-54.14528806
367,-67.62422484
368,-47.94060675
369,-60.51316948
370,-29.3506112
371,-34.0464393
372,-11.44754004
373,-17.26663486
374,-0.474945684
375,-32.92233245
376,-49.43878986
377,-38.46187695
378,48.86516631
379,-69.26909841
380,-73.47665701
381,-69.5683901
382,-109.3145862
383,-38.26166502
384,-105.386638
385,-16.59235196
386,-61.20818636
387,1.366829633
388,-27.33372131
389,-52.95034268
390,-98.91901959
391,-25.12245621
392,-49.52450436
393,-18.41809844
394,-10.45300085
395,-71.06457949
396,-87.55292092
397,-8.445380999
398,-60.77622302
399,-3.777390522
400,53.85582772
401,20.13563726
402,35.52601834
403,1.505358938
404,7.197970311
405,31.34572149
406,48.443836
407,29.37189562
408,18.07120409
409,23.3499774
410,2.229790531
411,33.5783931
412,38.27357317
413,15.72152799
414,15.41813842
415,27.85535262
416,15.98129441
417,22.24429725
418,58.84770705
419,19.18716481
420,17.3059264
421,12.41835565
422,35.93895874
423,20.29922491
424,12.38740742
425,45.6922779
426,47.35355188
427,13.21466414
428,-8.182977754
429,40.38915297
430,11.79156005
431,36.72369713
432,-9.933229587
433,38.44704167
434,2.892884152
435,35.71202512
436,23.60317074
437,7.240169434
438,16.48295071
439,34.96088377
440,25.15159205
441,33.23865909
442,56.76422792
443,-3.074070161
444,50.69319654
445,25.12559081
446,8.172307184
447,0.879363606
448,20.16577712
449,38.93803985
450,-50.63668076
451,5.591728685
452,-98.88327236
453,-32.79759835
454,-82.75505094
455,-62.80611702
456,-34.73584195
457,-82.85721001
458,-106.2568801
459,-76.94335885
460,15.73684976
461,-38.90264591
462,-45.45526331
463,-58.8261591
464,-38.3771488
465,-32.76500727
466,-59.56466189
467,-20.08548908
468,-70.11690556
469,-64.24434274
470,-48.55899123
471,-119.4910225
472,-100.6209054
473,-7.827299783
474,-18.9830084
475,-72.05614793
476,-19.0789537
477,-57.41308058
478,50.85132212
479,-7.5194648
480,-79.4764998
481,-84.96284417
