time,c_rate
0,-2.310826356
1,-4.329439228
2,-4.995926125
3,-5.824533356
4,-6.122332451
5,-5.896992382
6,-3.992168035
7,-3.743579605
8,-5.893961928
9,-3.346089285
10,-4.764060583
11,-4.115983233
12,-2.608157055
13,-3.344236175
14,-4.543323267
15,-5.184000033
16,-6.481096256
17,-5.006983602
18,-4.484262118
19,-5.282764493
20,-4.402077908
21,-4.187947938
22,-4.498384981
23,-4.935832156
24,-4.09348906
25,-3.812296221
26,-5.388970448
27,-2.815269087
28,-4.368463881
29,-4.247628351
30,-3.538318468
31,-4.027059672
32,-3.286310032
33,-3.971591942
34,-4.897180093
35,-3.895060597
36,-5.443840468
37,-4.155322727
38,-4.301214761
39,-4.481161551
40,-4.399279772
41,-6.203319087
42,-4.831624262
43,-4.171492201
44,-4.102541896
45,-5.324431748
46,-2.964695342
47,-5.15825884
48,-3.26951727
49,-3.827469157
50,-2.956456998
51,-1.675269091
52,-5.228230811
53,-0.854919777
54,-0.055430898
55,-1.945187589
56,-2.844313657
57,-3.629729797
58,-1.982232437
59,-0.911759082
60,-3.800735928
61,-2.327299677
62,-3.916538717
63,-6.685500329
64,-0.115777432
65,-2.24043121
66,-1.905169374
67,0.027460685
68,-3.349969358
69,-4.368478843
70,-3.365544362
71,-0.4406863
72,-3.222776949
73,0.628084274
74,-5.967868309
75,-0.005786853
76,-3.274542462
77,-3.570305962
78,-4.420208434
79,-7.066269352
80,-2.226853003
81,-0.572833398
82,-1.592260609
83,-4.338876438
84,-4.251796401
85,-3.412818899
86,-2.115292763
87,-1.847236552
88,-4.236430619
89,-1.983502993
90,-2.116899714
91,-1.184781831
92,-4.491964652
93,-3.516720135
94,-3.60485561
95,-5.723339599
96,-2.605545068
97,-0.754210538
98,-2.258806253
99,-3.549107056
100,-4.543331151
101,-3.906121332
102,-2.222564437
103,-3.833679677
104,-3.230372855
105,-1.694373934
106,-1.24164813
107,-3.706078915
108,-3.633561121
109,-2.824668409
110,-4.337017772
111,-0.594079003
112,-2.085369195
113,1.874937593
114,-5.026172651
115,-2.888373146
116,-3.714504947
117,-5.478203118
118,-1.067110226
119,-2.047025271
120,-3.531107521
121,-3.627284018
122,-1.55416002
123,-4.991205824
124,0.291062115
125,-0.051976849
126,-7.138834076
127,-4.105523534
128,-1.54178314
129,-1.68901173
130,-6.756492651
131,-2.216588303
132,-5.136605201
133,-2.145363956
