time (s),power (W)
0,0
1,0
2,0
3,0
4,0
5,0
6,0
7,0
8,0
9,0
10,0
11,0
12,-0.048
13,-0.947999999
14,-3.623999999
15,-4.884000001
16,-7.583999999
17,-12.18
18,-14.256
19,-7.175999999
20,-4.235999999
21,-2.795999999
22,-4.008000001
23,-3.3
24,-8.975999999
25,-7.044000001
26,-12.204
27,-14.604
28,-15.864
29,-15.552
30,-10.932
31,-9.024
32,-8.088
33,-7.656000002
34,-5.352000001
35,-2.916000002
36,0
37,0
38,0
39,0
40,0
41,0
42,0
43,0
44,0
45,0
46,0
47,0
48,0
49,-1.032
50,-0.048
51,0
52,0
53,0
54,-0.479999999
55,-0.635999999
56,-0.635999999
57,-1.128
58,-1.164000002
59,-4.332
60,-2.027999999
61,-2.123999999
62,-1.548
63,-2.928000001
64,-2.639999999
65,-1.775999998
66,-1.811999999
67,-5.916000001
68,-9.372
69,-12.072
70,-13.92
71,-13.764
72,-10.716
73,-8.099999999
74,-7.464000001
75,-8.220000002
76,-9.048000002
77,-7.812000001
78,-4.788
79,-1.008000002
80,-0.947999999
81,0
82,-1.8
83,-1.763999999
84,0
85,-0.132000002
86,0
87,-0.995999999
88,0
89,0
90,0
91,0
92,0
93,0
94,0
95,0
96,0
97,0
98,0
99,0
100,0
101,0
102,0
103,0
104,0
105,0
106,0
107,0
108,0
109,0
110,0
111,0
112,0
113,0
114,0
115,0
116,0
117,0
118,0
119,0
120,0
121,0
122,0
123,0
124,0
125,0
126,0
127,0
128,0
129,0
130,0
131,0
132,0
133,0
134,0
135,0
136,0
137,0
138,-0.059999999
139,-1.199999999
140,-5.028000002
141,-8.220000002
142,-6.6
143,-3.731999998
144,-3.671999999
145,-7.031999998
146,-9.647999999
147,-9.792
148,-7.716000001
149,-4.572000001
150,-0.587999999
151,0
152,0
153,0
154,0
155,0
156,-1.632000001
157,-3.288000001
158,-6.804
159,-7.884
160,-10.38
161,-8.303999999
162,-9.131999999
163,-9.216000001
164,-8.712
165,-6.696
166,-7.416
167,-11.868
168,-12.732
169,-7.439999999
170,-0.312
171,0
172,0
173,0
174,0
175,-1.008000002
176,-4.464000001
177,-8.567999999
178,-7.368
179,-3.768
180,-1.8
181,-0.972000001
182,0
183,0
184,0
185,0
186,0
187,0
188,0
189,0
190,0
191,0
192,0
193,-0.144000001
194,-0.312
195,-0.635999999
196,-0.635999999
197,-0.635999999
198,-1.463999999
199,-1.536000001
200,-2.495999998
201,-2.699999999
202,-3.935999999
203,-6.636000001
204,-6.9
205,-8.927999999
206,-11.748
207,-11.916
208,-12.024
209,-16.668
210,-14.184
211,-12.192
212,-10.728
213,-10.08
214,-12.768
215,-15.768
216,-17.928
217,-17.736
218,-16.68
219,-14.664
220,-13.056
221,-9.780000001
222,-9.924000002
223,-9.324
224,-10.176
225,-11.82
226,-11.292
227,-11.484
228,-10.908
229,-10.284
230,-8.051999999
231,-5.712000001
232,0
233,0
234,0
235,0
236,-1.931999998
237,-0.468
238,0
239,0
240,0
241,0
242,0
243,0
244,0
245,0
246,0
247,0
248,0
249,0
250,0
251,0
252,0
253,-1.032
254,-0.048
255,0
256,0
257,-2.604000002
258,-6.18
259,-7.716000001
260,-8.664
261,-9.516000001
262,-12.408
263,-17.16
264,-18.756
265,-17.604
266,-13.344
267,-15.828
268,-13.308
269,-13.944
270,-5.712000001
271,-2.568000001
272,-3.120000002
273,0
274,0
275,0
276,0
277,0
278,0
279,0
280,0
281,-8.76
282,-13.176
283,-15.084
284,-18.552
285,-18.372
286,-20.412
287,-22.524
288,-24.708
289,-17.832
290,-9.984000001
291,-1.931999998
292,0
293,-0.300000001
294,-2.148000001
295,-4.644
296,-5.916000001
297,-7.235999998
298,-6.671999998
299,-5.412
300,-4.116
301,-2.112
302,-0.096000001
303,0
304,0
305,0
306,0
307,-1.164000002
308,-2.772000001
309,-1.632000001
310,-1.032
311,0
312,0
313,0
314,0
315,0
316,0
317,0
318,0
319,0
320,0
321,0
322,-1.667999999
323,0
324,-0.264
325,-1.572000002
326,-0.575999999
327,-0.564
328,0
329,0
330,0
331,-0.504000001
332,0
333,-0.240000001
334,0
335,0
336,-0.396000001
337,-1.176000001
338,-2.604000002
339,-5.964000001
340,-9.156000001
