time,c_rate
0,0
1,0
2,0
3,0
4,0
5,0
6,0
7,0
8,0
9,0
10,0
11,0
12,-0.002922374
13,-0.057716895
14,-0.220639269
15,-0.297351598
16,-0.46173516
17,-0.741552511
18,-0.867945206
19,-0.436894977
20,-0.257899543
21,-0.17022831
22,-0.244018265
23,-0.200913242
24,-0.546484018
25,-0.428858448
26,-0.743013699
27,-0.88913242
28,-0.965844749
29,-0.946849315
30,-0.665570776
31,-0.549406393
32,-0.492420091
33,-0.466118722
34,-0.325844749
35,-0.177534247
36,0
37,0
38,0
39,0
40,0
41,0
42,0
43,0
44,0
45,0
46,0
47,0
48,0
49,-0.06283105
50,-0.002922374
51,0
52,0
53,0
54,-0.029223744
55,-0.038721461
56,-0.038721461
57,-0.068675799
58,-0.07086758
59,-0.263744292
60,-0.12347032
61,-0.129315068
62,-0.094246575
63,-0.17826484
64,-0.160730594
65,-0.108127854
66,-0.110319635
67,-0.360182648
68,-0.570593607
69,-0.734977169
70,-0.847488584
71,-0.837990868
72,-0.652420091
73,-0.493150685
74,-0.454429224
75,-0.500456621
76,-0.55086758
77,-0.475616438
78,-0.291506849
79,-0.061369863
80,-0.057716895
81,0
82,-0.109589041
83,-0.10739726
84,0
85,-0.00803653
86,0
87,-0.060639269
88,0
89,0
90,0
91,0
92,0
93,0
94,0
95,0
96,0
97,0
98,0
99,0
100,0
101,0
102,0
103,0
104,0
105,0
106,0
107,0
108,0
109,0
110,0
111,0
112,0
113,0
114,0
115,0
116,0
117,0
118,0
119,0
120,0
121,0
122,0
123,0
124,0
125,0
126,0
127,0
128,0
129,0
130,0
131,0
132,0
133,0
134,0
135,0
136,0
137,0
138,-0.003652968
139,-0.073059361
140,-0.306118722
141,-0.500456621
142,-0.401826484
143,-0.227214612
144,-0.223561644
145,-0.428127854
146,-0.58739726
147,-0.596164384
148,-0.46977169
149,-0.278356164
150,-0.035799087
151,0
152,0
153,0
154,0
155,0
156,-0.099360731
157,-0.200182648
158,-0.414246575
159,-0.48
160,-0.63196347
161,-0.505570776
162,-0.555981735
163,-0.56109589
164,-0.530410959
165,-0.407671233
166,-0.451506849
167,-0.722557078
168,-0.775159817
169,-0.452968036
170,-0.018995434
171,0
172,0
173,0
174,0
175,-0.061369863
176,-0.271780822
177,-0.521643836
178,-0.448584475
179,-0.229406393
180,-0.109589041
181,-0.059178082
182,0
183,0
184,0
185,0
186,0
187,0
188,0
189,0
190,0
191,0
192,0
193,-0.008767123
194,-0.018995434
195,-0.038721461
196,-0.038721461
197,-0.038721461
198,-0.08913242
199,-0.093515982
200,-0.15196347
201,-0.164383562
202,-0.239634703
203,-0.404018265
204,-0.420091324
205,-0.543561644
206,-0.715251142
207,-0.725479452
208,-0.732054794
209,-1.01479452
210,-0.863561644
211,-0.742283105
212,-0.653150685
213,-0.61369863
214,-0.777351598
215,-0.96
216,-1.091506849
217,-1.079817352
218,-1.015525114
219,-0.892785388
220,-0.794885845
221,-0.59543379
222,-0.604200913
223,-0.567671233
224,-0.619543379
225,-0.719634703
226,-0.687488584
227,-0.699178082
228,-0.664109589
229,-0.626118722
230,-0.49022831
231,-0.347762557
232,0
233,0
234,0
235,0
236,-0.117625571
237,-0.028493151
238,0
239,0
240,0
241,0
242,0
243,0
244,0
245,0
246,0
247,0
248,0
249,0
250,0
251,0
252,0
253,-0.06283105
254,-0.002922374
255,0
256,0
257,-0.158538813
258,-0.376255708
259,-0.46977169
260,-0.527488584
261,-0.579360731
262,-0.75543379
263,-1.044748858
264,-1.141917808
265,-1.071780822
266,-0.812420091
267,-0.963652968
268,-0.81022831
269,-0.848949772
270,-0.347762557
271,-0.156347032
272,-0.189954338
273,0
274,0
275,0
276,0
277,0
278,0
279,0
280,0
281,-0.533333333
282,-0.802191781
283,-0.918356164
284,-1.129497717
285,-1.118538813
286,-1.242739726
287,-1.371324201
288,-1.504292237
289,-1.0856621
290,-0.607853881
291,-0.117625571
292,0
293,-0.01826484
294,-0.130776256
295,-0.282739726
296,-0.360182648
297,-0.440547945
298,-0.406210046
299,-0.329497717
300,-0.250593607
301,-0.128584475
302,-0.005844749
303,0
304,0
305,0
306,0
307,-0.07086758
308,-0.168767123
309,-0.099360731
310,-0.06283105
311,0
312,0
