Time_Minutes,Power_PerUnit,Description
0,0.0,"Backup power (positive=charge, negative=discharge)"
1,0.0,"Backup power (positive=charge, negative=discharge)"
2,0.0,"Backup power (positive=charge, negative=discharge)"
3,0.0,"Backup power (positive=charge, negative=discharge)"
4,0.0,"Backup power (positive=charge, negative=discharge)"
5,0.0,"Backup power (positive=charge, negative=discharge)"
6,0.0,"Backup power (positive=charge, negative=discharge)"
7,0.0,"Backup power (positive=charge, negative=discharge)"
8,0.0,"Backup power (positive=charge, negative=discharge)"
9,0.0,"Backup power (positive=charge, negative=discharge)"
10,0.0,"Backup power (positive=charge, negative=discharge)"
11,0.0,"Backup power (positive=charge, negative=discharge)"
12,0.0,"Backup power (positive=charge, negative=discharge)"
13,0.0,"Backup power (positive=charge, negative=discharge)"
14,0.0,"Backup power (positive=charge, negative=discharge)"
15,0.0,"Backup power (positive=charge, negative=discharge)"
16,0.0,"Backup power (positive=charge, negative=discharge)"
17,0.0,"Backup power (positive=charge, negative=discharge)"
18,0.0,"Backup power (positive=charge, negative=discharge)"
19,0.0,"Backup power (positive=charge, negative=discharge)"
20,0.0,"Backup power (positive=charge, negative=discharge)"
21,0.0,"Backup power (positive=charge, negative=discharge)"
22,0.0,"Backup power (positive=charge, negative=discharge)"
23,0.0,"Backup power (positive=charge, negative=discharge)"
24,0.0,"Backup power (positive=charge, negative=discharge)"
25,0.0,"Backup power (positive=charge, negative=discharge)"
26,0.0,"Backup power (positive=charge, negative=discharge)"
27,0.0,"Backup power (positive=charge, negative=discharge)"
28,0.0,"Backup power (positive=charge, negative=discharge)"
29,0.0,"Backup power (positive=charge, negative=discharge)"
30,0.0,"Backup power (positive=charge, negative=discharge)"
31,0.0,"Backup power (positive=charge, negative=discharge)"
32,0.0,"Backup power (positive=charge, negative=discharge)"
33,0.0,"Backup power (positive=charge, negative=discharge)"
34,0.0,"Backup power (positive=charge, negative=discharge)"
35,0.0,"Backup power (positive=charge, negative=discharge)"
36,0.0,"Backup power (positive=charge, negative=discharge)"
37,0.0,"Backup power (positive=charge, negative=discharge)"
38,0.0,"Backup power (positive=charge, negative=discharge)"
39,0.0,"Backup power (positive=charge, negative=discharge)"
40,0.0,"Backup power (positive=charge, negative=discharge)"
41,0.0,"Backup power (positive=charge, negative=discharge)"
42,0.0,"Backup power (positive=charge, negative=discharge)"
43,0.0,"Backup power (positive=charge, negative=discharge)"
44,0.0,"Backup power (positive=charge, negative=discharge)"
45,0.0,"Backup power (positive=charge, negative=discharge)"
46,0.0,"Backup power (positive=charge, negative=discharge)"
47,0.0,"Backup power (positive=charge, negative=discharge)"
48,0.0,"Backup power (positive=charge, negative=discharge)"
49,0.0,"Backup power (positive=charge, negative=discharge)"
50,0.0,"Backup power (positive=charge, negative=discharge)"
51,0.0,"Backup power (positive=charge, negative=discharge)"
52,0.0,"Backup power (positive=charge, negative=discharge)"
53,0.0,"Backup power (positive=charge, negative=discharge)"
54,0.0,"Backup power (positive=charge, negative=discharge)"
55,0.0,"Backup power (positive=charge, negative=discharge)"
56,0.0,"Backup power (positive=charge, negative=discharge)"
57,0.0,"Backup power (positive=charge, negative=discharge)"
58,0.0,"Backup power (positive=charge, negative=discharge)"
59,0.0,"Backup power (positive=charge, negative=discharge)"
60,0.0,"Backup power (positive=charge, negative=discharge)"
61,0.0,"Backup power (positive=charge, negative=discharge)"
62,0.0,"Backup power (positive=charge, negative=discharge)"
63,0.0,"Backup power (positive=charge, negative=discharge)"
64,0.0,"Backup power (positive=charge, negative=discharge)"
65,0.0,"Backup power (positive=charge, negative=discharge)"
66,0.0,"Backup power (positive=charge, negative=discharge)"
67,0.0,"Backup power (positive=charge, negative=discharge)"
68,0.0,"Backup power (positive=charge, negative=discharge)"
69,0.0,"Backup power (positive=charge, negative=discharge)"
70,0.0,"Backup power (positive=charge, negative=discharge)"
71,0.0,"Backup power (positive=charge, negative=discharge)"
72,0.0,"Backup power (positive=charge, negative=discharge)"
73,0.0,"Backup power (positive=charge, negative=discharge)"
74,0.0,"Backup power (positive=charge, negative=discharge)"
75,0.0,"Backup power (positive=charge, negative=discharge)"
76,0.0,"Backup power (positive=charge, negative=discharge)"
77,0.0,"Backup power (positive=charge, negative=discharge)"
78,0.0,"Backup power (positive=charge, negative=discharge)"
79,0.0,"Backup power (positive=charge, negative=discharge)"
80,0.0,"Backup power (positive=charge, negative=discharge)"
81,0.0,"Backup power (positive=charge, negative=discharge)"
82,0.0,"Backup power (positive=charge, negative=discharge)"
83,0.0,"Backup power (positive=charge, negative=discharge)"
84,0.0,"Backup power (positive=charge, negative=discharge)"
85,0.0,"Backup power (positive=charge, negative=discharge)"
86,0.0,"Backup power (positive=charge, negative=discharge)"
87,0.0,"Backup power (positive=charge, negative=discharge)"
88,0.0,"Backup power (positive=charge, negative=discharge)"
