Time_Minutes,Power_PerUnit
0,0.0021
1,0.0039
2,0.0065
3,0.0087
4,0.0097
5,0.009
6,0.0062
7,0.0014
8,-0.0041
9,-0.0088
10,-0.0115
11,-0.0127
12,-0.014
13,-0.0162
14,-0.0191
15,-0.0211
16,-0.0205
17,-0.017
18,-0.0115
19,-0.0058
20,-0.0014
21,0.0006
22,0.0008
23,-0.0001
24,-0.0014
25,-0.0032
26,-0.0051
27,-0.0061
28,-0.0057
29,-0.0041
30,-0.0021
31,-0.0005
32,-0.0003
33,-0.0019
34,-0.0045
35,-0.0065
36,-0.0063
37,-0.0029
38,0.0032
39,0.0104
40,0.0165
41,0.0203
42,0.0214
43,0.0198
44,0.0157
45,0.0099
46,0.0034
47,-0.0024
48,-0.0063
49,-0.0071
50,-0.0044
51,0.0013
52,0.0084
53,0.0145
54,0.0172
55,0.0156
56,0.0113
57,0.0076
58,0.0074
59,0.0106
60,0.0144
61,0.0158
62,0.014
63,0.0106
64,0.0079
65,0.0069
66,0.0073
67,0.0082
68,0.0089
69,0.0089
70,0.0078
71,0.0048
72,-0.0003
73,-0.0066
74,-0.0125
75,-0.017
76,-0.0195
77,-0.0196
78,-0.017
79,-0.0124
80,-0.0065
81,-0.0003
82,0.0048
83,0.0065
84,0.003
85,-0.0049
86,-0.0135
87,-0.0184
88,-0.0166
89,-0.0083
90,0.0042
91,0.0162
92,0.0228
93,0.0213
94,0.0137
95,0.005
96,-0.0
97,0.0009
98,0.0063
99,0.013
100,0.0175
101,0.0175
102,0.0128
103,0.0048
104,-0.004
105,-0.0116
106,-0.0173
107,-0.0211
108,-0.0229
109,-0.022
110,-0.018
111,-0.012
112,-0.0051
113,0.0023
114,0.0106
115,0.018
116,0.0215
117,0.0192
118,0.0129
119,0.0064
120,0.0026
121,0.0022
122,0.0035
123,0.0027
124,-0.0045
125,-0.0217
126,-0.0508
127,-0.0911
128,-0.1372
129,-0.1794
130,-0.2082
131,-0.2197
132,-0.2188
133,-0.2144
134,-0.2128
135,-0.2135
136,-0.213
137,-0.2097
138,-0.2054
139,-0.2031
140,-0.2053
141,-0.2124
142,-0.2223
143,-0.2323
144,-0.2404
145,-0.2451
146,-0.2446
147,-0.2389
148,-0.2314
149,-0.2272
150,-0.2296
151,-0.237
152,-0.2439
153,-0.2462
154,-0.2445
155,-0.2428
156,-0.2448
157,-0.2514
158,-0.2608
159,-0.2717
160,-0.2837
161,-0.2975
162,-0.3128
163,-0.3271
164,-0.3372
165,-0.3409
166,-0.3386
167,-0.3342
168,-0.3327
169,-0.3357
170,-0.3401
171,-0.3418
172,-0.3406
173,-0.3397
174,-0.3407
175,-0.3439
176,-0.3497
177,-0.3588
178,-0.3703
179,-0.3819
180,-0.3912
181,-0.3962
182,-0.3957
183,-0.3902
184,-0.3823
185,-0.375
186,-0.3693
187,-0.365
188,-0.3626
189,-0.3632
190,-0.367
191,-0.3724
192,-0.3758
193,-0.3751
194,-0.372
195,-0.3698
196,-0.3703
197,-0.3718
198,-0.3724
199,-0.3737
200,-0.3797
201,-0.3909
202,-0.4025
203,-0.4098
204,-0.4142
205,-0.4201
206,-0.4279
207,-0.4296
208,-0.4116
209,-0.3645
210,-0.2913
211,-0.2085
212,-0.1358
213,-0.0838
214,-0.0519
215,-0.0357
216,-0.0305
217,-0.0306
218,-0.0303
219,-0.0263
220,-0.019
221,-0.0097
222,0.0001
223,0.0085
224,0.0136
225,0.0152
226,0.0143
227,0.0116
228,0.0079
229,0.0053
230,0.0072
231,0.017
232,0.0341
233,0.0515
234,0.058
235,0.0461
236,0.0194
237,-0.0104
238,-0.0334
239,-0.0465
240,-0.05
241,-0.0429
242,-0.0266
243,-0.0073
244,0.0073
245,0.0135
246,0.0122
247,0.0046
248,-0.0085
249,-0.0237
250,-0.0334
251,-0.0307
252,-0.0165
253,0.0008
254,0.0118
255,0.0118
256,0.0014
257,-0.0148
258,-0.0287
259,-0.0323
260,-0.0241
261,-0.0115
262,-0.0036
263,-0.0041
264,-0.0099
265,-0.0156
266,-0.0173
267,-0.0127
268,-0.0025
269,0.0098
270,0.0192
271,0.0216
272,0.0156
273,0.0032
274,-0.0115
275,-0.0235
276,-0.0296
277,-0.0301
278,-0.0283
279,-0.0283
280,-0.032
281,-0.0379
282,-0.0426
283,-0.0421
284,-0.0333
285,-0.0167
286,0.0005
287,0.0086
288,0.0045
289,-0.006
290,-0.0137
291,-0.0132
292,-0.004
293,0.011
294,0.0259
295,0.0348
296,0.0353
297,0.0281
298,0.0147
299,-0.0015
300,-0.0137
301,-0.0145
302,-0.0031
303,0.0127
304,0.0224
305,0.0213
306,0.0142
307,0.0087
308,0.0044
309,-0.012
310,-0.0588
311,-0.1456
312,-0.264
313,-0.389
314,-0.4923
315,-0.5558
316,-0.5784
317,-0.5716
318,-0.5524
319,-0.5363
320,-0.5333
321,-0.5461
322,-0.5705
323,-0.5968
324,-0.6134
325,-0.6143
326,-0.6027
327,-0.5848
328,-0.56
329,-0.5189
330,-0.4506
331,-0.3537
332,-0.2418
333,-0.1371
334,-0.058
335,-0.0106
336,0.0115
337,0.02
338,0.023
339,0.0195
340,0.0052
341,-0.0179
342,-0.04
343,-0.0532
344,-0.0583
345,-0.0612
346,-0.0659
347,-0.0727
348,-0.0803
349,-0.0855
350,-0.0831
351,-0.0709
352,-0.0541
353,-0.041
354,-0.0331
355,-0.0241
356,-0.0091
357,0.0088
358,0.0221
359,0.0267
360,0.0233
361,0.0145
362,0.005
363,0.0006
364,0.0034
365,0.0078
366,0.0057
367,-0.0046
368,-0.0178
369,-0.0265
370,-0.0262
371,-0.0176
372,-0.0054
373,0.004
374,0.0078
375,0.0094
376,0.0141
377,0.0224
378,0.028
379,0.0239
380,0.0089
381,-0.0108
382,-0.0266
383,-0.0331
384,-0.0314
385,-0.0266
386,-0.022
387,-0.0169
388,-0.0095
389,-0.0008
390,0.005
391,0.0023
392,-0.0109
393,-0.0287
394,-0.0384
395,-0.0321
396,-0.0147
397,-0.0001
398,0.0007
399,-0.012
400,-0.0264
401,-0.0281
402,-0.0114
403,0.0166
404,0.0423
405,0.0548
406,0.0498
407,0.0306
408,0.0065
409,-0.0125
410,-0.0213
411,-0.0218
412,-0.0193
413,-0.0172
414,-0.0148
415,-0.0112
416,-0.008
417,-0.0082
418,-0.0117
419,-0.0136
420,-0.0085
421,0.0041
422,0.0196
423,0.035
424,0.0518
425,0.07
426,0.0833
427,0.0857
428,0.0787
429,0.0684
430,0.0577
431,0.0459
432,0.0334
433,0.0228
434,0.0144
435,0.0051
436,-0.0068
437,-0.018
438,-0.0246
439,-0.027
440,-0.0282
441,-0.0288
442,-0.0258
443,-0.0182
444,-0.0088
445,-0.0016
446,0.0012
447,-0.0009
448,-0.008
449,-0.021
450,-0.0401
451,-0.0618
452,-0.0781
453,-0.0815
454,-0.0704
455,-0.0484
456,-0.0221
457,0.0019
458,0.0192
459,0.0291
