Time_Minutes,Power_PerUnit,Description
0,0.0,"Energy time-shifting (positive=charge, negative=discharge)"
1,0.0,"Energy time-shifting (positive=charge, negative=discharge)"
2,0.0,"Energy time-shifting (positive=charge, negative=discharge)"
3,0.0,"Energy time-shifting (positive=charge, negative=discharge)"
4,0.0,"Energy time-shifting (positive=charge, negative=discharge)"
5,0.0,"Energy time-shifting (positive=charge, negative=discharge)"
6,0.0,"Energy time-shifting (positive=charge, negative=discharge)"
7,0.0,"Energy time-shifting (positive=charge, negative=discharge)"
8,0.0,"Energy time-shifting (positive=charge, negative=discharge)"
9,0.0,"Energy time-shifting (positive=charge, negative=discharge)"
10,0.0,"Energy time-shifting (positive=charge, negative=discharge)"
11,0.0,"Energy time-shifting (positive=charge, negative=discharge)"
12,0.0,"Energy time-shifting (positive=charge, negative=discharge)"
13,0.0,"Energy time-shifting (positive=charge, negative=discharge)"
14,0.0,"Energy time-shifting (positive=charge, negative=discharge)"
15,0.0,"Energy time-shifting (positive=charge, negative=discharge)"
16,0.0,"Energy time-shifting (positive=charge, negative=discharge)"
17,0.0,"Energy time-shifting (positive=charge, negative=discharge)"
18,0.0,"Energy time-shifting (positive=charge, negative=discharge)"
19,0.0,"Energy time-shifting (positive=charge, negative=discharge)"
20,0.0,"Energy time-shifting (positive=charge, negative=discharge)"
21,0.0,"Energy time-shifting (positive=charge, negative=discharge)"
22,0.0,"Energy time-shifting (positive=charge, negative=discharge)"
23,0.0,"Energy time-shifting (positive=charge, negative=discharge)"
24,0.0,"Energy time-shifting (positive=charge, negative=discharge)"
25,0.0,"Energy time-shifting (positive=charge, negative=discharge)"
26,0.0,"Energy time-shifting (positive=charge, negative=discharge)"
27,0.0,"Energy time-shifting (positive=charge, negative=discharge)"
28,0.0,"Energy time-shifting (positive=charge, negative=discharge)"
29,0.0,"Energy time-shifting (positive=charge, negative=discharge)"
30,0.0,"Energy time-shifting (positive=charge, negative=discharge)"
31,0.0,"Energy time-shifting (positive=charge, negative=discharge)"
32,0.0,"Energy time-shifting (positive=charge, negative=discharge)"
33,0.0,"Energy time-shifting (positive=charge, negative=discharge)"
34,0.0,"Energy time-shifting (positive=charge, negative=discharge)"
35,0.0,"Energy time-shifting (positive=charge, negative=discharge)"
36,0.0,"Energy time-shifting (positive=charge, negative=discharge)"
37,0.0,"Energy time-shifting (positive=charge, negative=discharge)"
38,0.0,"Energy time-shifting (positive=charge, negative=discharge)"
39,0.0,"Energy time-shifting (positive=charge, negative=discharge)"
40,0.0,"Energy time-shifting (positive=charge, negative=discharge)"
41,0.0,"Energy time-shifting (positive=charge, negative=discharge)"
42,0.0,"Energy time-shifting (positive=charge, negative=discharge)"
43,0.0,"Energy time-shifting (positive=charge, negative=discharge)"
44,0.0,"Energy time-shifting (positive=charge, negative=discharge)"
45,0.0,"Energy time-shifting (positive=charge, negative=discharge)"
46,0.0,"Energy time-shifting (positive=charge, negative=discharge)"
47,0.0,"Energy time-shifting (positive=charge, negative=discharge)"
48,0.0,"Energy time-shifting (positive=charge, negative=discharge)"
49,0.0,"Energy time-shifting (positive=charge, negative=discharge)"
50,0.0,"Energy time-shifting (positive=charge, negative=discharge)"
51,0.0,"Energy time-shifting (positive=charge, negative=discharge)"
52,0.0,"Energy time-shifting (positive=charge, negative=discharge)"
53,0.0,"Energy time-shifting (positive=charge, negative=discharge)"
54,0.0,"Energy time-shifting (positive=charge, negative=discharge)"
55,0.0,"Energy time-shifting (positive=charge, negative=discharge)"
56,0.0,"Energy time-shifting (positive=charge, negative=discharge)"
57,0.0,"Energy time-shifting (positive=charge, negative=discharge)"
58,0.0,"Energy time-shifting (positive=charge, negative=discharge)"
59,0.0,"Energy time-shifting (positive=charge, negative=discharge)"
60,0.0,"Energy time-shifting (positive=charge, negative=discharge)"
61,0.0,"Energy time-shifting (positive=charge, negative=discharge)"
62,0.0,"Energy time-shifting (positive=charge, negative=discharge)"
63,0.0,"Energy time-shifting (positive=charge, negative=discharge)"
64,0.0,"Energy time-shifting (positive=charge, negative=discharge)"
65,0.0,"Energy time-shifting (positive=charge, negative=discharge)"
66,0.0,"Energy time-shifting (positive=charge, negative=discharge)"
67,0.0,"Energy time-shifting (positive=charge, negative=discharge)"
68,0.0,"Energy time-shifting (positive=charge, negative=discharge)"
69,0.0,"Energy time-shifting (positive=charge, negative=discharge)"
70,0.0,"Energy time-shifting (positive=charge, negative=discharge)"
71,0.0,"Energy time-shifting (positive=charge, negative=discharge)"
72,0.0,"Energy time-shifting (positive=charge, negative=discharge)"
73,0.0,"Energy time-shifting (positive=charge, negative=discharge)"
74,0.0,"Energy time-shifting (positive=charge, negative=discharge)"
75,0.0,"Energy time-shifting (positive=charge, negative=discharge)"
76,0.0,"Energy time-shifting (positive=charge, negative=discharge)"
77,0.0,"Energy time-shifting (positive=charge, negative=discharge)"
78,0.0,"Energy time-shifting (positive=charge, negative=discharge)"
79,0.0,"Energy time-shifting (positive=charge, negative=discharge)"
80,0.0,"Energy time-shifting (positive=charge, negative=discharge)"
81,0.0,"Energy time-shifting (positive=charge, negative=discharge)"
82,0.0,"Energy time-shifting (positive=charge, negative=discharge)"
83,0.0,"Energy time-shifting (positive=charge, negative=discharge)"
84,0.0,"Energy time-shifting (positive=charge, negative=discharge)"
85,0.0,"Energy time-shifting (positive=charge, negative=discharge)"
86,0.0,"Energy time-shifting (positive=charge, negative=discharge)"
87,0.0,"Energy time-shifting (positive=charge, negative=discharge)"
88,0.0,"Energy time-shifting (positive=charge, negative=discharge)"
89,0.0,"Energy time-shifting (positive=charge, negative=discharge)"
90,0.0,"Energy time-shifting (positive=charge, negative=discharge)"
91,0.0,"Energy time-shifting (positive=charge, negative=discharge)"
92,0.0,"Energy time-shifting (positive=charge, negative=discharge)"
93,0.0,"Energy time-shifting (positive=charge, negative=discharge)"
94,0.0,"Energy time-shifting (positive=charge, negative=discharge)"
95,0.0,"Energy time-shifting (positive=charge, negative=discharge)"
96,0.0,"Energy time-shifting (positive=charge, negative=discharge)"
97,0.0,"Energy time-shifting (positive=charge, negative=discharge)"
98,0.0,"Energy time-shifting (positive=charge, negative=discharge)"
99,0.0,"Energy time-shifting (positive=charge, negative=discharge)"
100,0.0,"Energy time-shifting (positive=charge, negative=discharge)"
101,0.0,"Energy time-shifting (positive=charge, negative=discharge)"
102,0.0,"Energy time-shifting (positive=charge, negative=discharge)"
103,0.0,"Energy time-shifting (positive=charge, negative=discharge)"
104,0.0,"Energy time-shifting (positive=charge, negative=discharge)"
105,0.0,"Energy time-shifting (positive=charge, negative=discharge)"
106,0.0,"Energy time-shifting (positive=charge, negative=discharge)"
107,0.0,"Energy time-shifting (positive=charge, negative=discharge)"
108,0.0,"Energy time-shifting (positive=charge, negative=discharge)"
109,0.0,"Energy time-shifting (positive=charge, negative=discharge)"
110,0.0,"Energy time-shifting (positive=charge, negative=discharge)"
111,0.0,"Energy time-shifting (positive=charge, negative=discharge)"
112,0.0,"Energy time-shifting (positive=charge, negative=discharge)"
113,0.0,"Energy time-shifting (positive=charge, negative=discharge)"
114,0.0,"Energy time-shifting (positive=charge, negative=discharge)"
115,0.0,"Energy time-shifting (positive=charge, negative=discharge)"
116,0.0,"Energy time-shifting (positive=charge, negative=discharge)"
117,0.0,"Energy time-shifting (positive=charge, negative=discharge)"
118,0.0,"Energy time-shifting (positive=charge, negative=discharge)"
119,0.0,"Energy time-shifting (positive=charge, negative=discharge)"
120,0.0,"Energy time-shifting (positive=charge, negative=discharge)"
121,0.0,"Energy time-shifting (positive=charge, negative=discharge)"
122,0.0,"Energy time-shifting (positive=charge, negative=discharge)"
123,0.0,"Energy time-shifting (positive=charge, negative=discharge)"
124,0.0,"Energy time-shifting (positive=charge, negative=discharge)"
125,0.0,"Energy time-shifting (positive=charge, negative=discharge)"
126,0.0,"Energy time-shifting (positive=charge, negative=discharge)"
127,0.0,"Energy time-shifting (positive=charge, negative=discharge)"
128,0.0,"Energy time-shifting (positive=charge, negative=discharge)"
129,0.0,"Energy time-shifting (positive=charge, negative=discharge)"
130,0.0,"Energy time-shifting (positive=charge, negative=discharge)"
131,0.0,"Energy time-shifting (positive=charge, negative=discharge)"
132,0.0,"Energy time-shifting (positive=charge, negative=discharge)"
133,0.0,"Energy time-shifting (positive=charge, negative=discharge)"
134,0.0,"Energy time-shifting (positive=charge, negative=discharge)"
135,0.0,"Energy time-shifting (positive=charge, negative=discharge)"
136,0.0,"Energy time-shifting (positive=charge, negative=discharge)"
137,0.0,"Energy time-shifting (positive=charge, negative=discharge)"
138,0.0,"Energy time-shifting (positive=charge, negative=discharge)"
139,0.0,"Energy time-shifting (positive=charge, negative=discharge)"
140,0.0,"Energy time-shifting (positive=charge, negative=discharge)"
141,0.0,"Energy time-shifting (positive=charge, negative=discharge)"
142,0.0,"Energy time-shifting (positive=charge, negative=discharge)"
143,0.0,"Energy time-shifting (positive=charge, negative=discharge)"
144,0.0,"Energy time-shifting (positive=charge, negative=discharge)"
145,0.0,"Energy time-shifting (positive=charge, negative=discharge)"
146,0.0,"Energy time-shifting (positive=charge, negative=discharge)"
147,0.0,"Energy time-shifting (positive=charge, negative=discharge)"
148,0.0,"Energy time-shifting (positive=charge, negative=discharge)"
149,0.0,"Energy time-shifting (positive=charge, negative=discharge)"
150,0.0,"Energy time-shifting (positive=charge, negative=discharge)"
151,0.0,"Energy time-shifting (positive=charge, negative=discharge)"
152,0.0,"Energy time-shifting (positive=charge, negative=discharge)"
153,0.0,"Energy time-shifting (positive=charge, negative=discharge)"
154,0.0,"Energy time-shifting (positive=charge, negative=discharge)"
155,0.0,"Energy time-shifting (positive=charge, negative=discharge)"
156,0.0,"Energy time-shifting (positive=charge, negative=discharge)"
157,0.0,"Energy time-shifting (positive=charge, negative=discharge)"
158,0.0,"Energy time-shifting (positive=charge, negative=discharge)"
159,0.0,"Energy time-shifting (positive=charge, negative=discharge)"
160,0.0,"Energy time-shifting (positive=charge, negative=discharge)"
161,0.0,"Energy time-shifting (positive=charge, negative=discharge)"
162,0.0,"Energy time-shifting (positive=charge, negative=discharge)"
163,0.0,"Energy time-shifting (positive=charge, negative=discharge)"
164,0.0,"Energy time-shifting (positive=charge, negative=discharge)"
165,0.0,"Energy time-shifting (positive=charge, negative=discharge)"
166,0.0,"Energy time-shifting (positive=charge, negative=discharge)"
167,0.0,"Energy time-shifting (positive=charge, negative=discharge)"
168,0.0,"Energy time-shifting (positive=charge, negative=discharge)"
169,0.0,"Energy time-shifting (positive=charge, negative=discharge)"
170,0.0,"Energy time-shifting (positive=charge, negative=discharge)"
171,0.0,"Energy time-shifting (positive=charge, negative=discharge)"
172,0.0,"Energy time-shifting (positive=charge, negative=discharge)"
173,0.0,"Energy time-shifting (positive=charge, negative=discharge)"
174,0.0,"Energy time-shifting (positive=charge, negative=discharge)"
175,0.0,"Energy time-shifting (positive=charge, negative=discharge)"
176,0.0,"Energy time-shifting (positive=charge, negative=discharge)"
177,0.0,"Energy time-shifting (positive=charge, negative=discharge)"
178,0.0,"Energy time-shifting (positive=charge, negative=discharge)"
179,0.0,"Energy time-shifting (positive=charge, negative=discharge)"
180,0.0,"Energy time-shifting (positive=charge, negative=discharge)"
181,0.0,"Energy time-shifting (positive=charge, negative=discharge)"
182,0.0,"Energy time-shifting (positive=charge, negative=discharge)"
183,0.0,"Energy time-shifting (positive=charge, negative=discharge)"
184,0.0,"Energy time-shifting (positive=charge, negative=discharge)"
185,0.0,"Energy time-shifting (positive=charge, negative=discharge)"
186,0.0,"Energy time-shifting (positive=charge, negative=discharge)"
187,0.0,"Energy time-shifting (positive=charge, negative=discharge)"
188,0.0,"Energy time-shifting (positive=charge, negative=discharge)"
189,0.0,"Energy time-shifting (positive=charge, negative=discharge)"
190,0.0,"Energy time-shifting (positive=charge, negative=discharge)"
191,0.0,"Energy time-shifting (positive=charge, negative=discharge)"
192,0.0,"Energy time-shifting (positive=charge, negative=discharge)"
193,0.0,"Energy time-shifting (positive=charge, negative=discharge)"
194,0.0,"Energy time-shifting (positive=charge, negative=discharge)"
195,0.0,"Energy time-shifting (positive=charge, negative=discharge)"
196,0.0,"Energy time-shifting (positive=charge, negative=discharge)"
197,0.0,"Energy time-shifting (positive=charge, negative=discharge)"
