Time_Minutes,Power_PerUnit,Description
0,0.0911,"Frequency regulation signal (positive=discharge, negative=charge)"
1,0.346,"Frequency regulation signal (positive=discharge, negative=charge)"
2,0.477,"Frequency regulation signal (positive=discharge, negative=charge)"
3,0.357,"Frequency regulation signal (positive=discharge, negative=charge)"
4,-0.0782,"Frequency regulation signal (positive=discharge, negative=charge)"
5,0.195,"Frequency regulation signal (positive=discharge, negative=charge)"
6,0.7989,"Frequency regulation signal (positive=discharge, negative=charge)"
7,0.4653,"Frequency regulation signal (positive=discharge, negative=charge)"
8,-0.2042,"Frequency regulation signal (positive=discharge, negative=charge)"
9,-0.1765,"Frequency regulation signal (positive=discharge, negative=charge)"
10,-0.1391,"Frequency regulation signal (positive=discharge, negative=charge)"
11,0.1267,"Frequency regulation signal (positive=discharge, negative=charge)"
12,0.1739,"Frequency regulation signal (positive=discharge, negative=charge)"
13,-0.5614,"Frequency regulation signal (positive=discharge, negative=charge)"
14,-0.5625,"Frequency regulation signal (positive=discharge, negative=charge)"
15,0.036,"Frequency regulation signal (positive=discharge, negative=charge)"
16,0.3113,"Frequency regulation signal (positive=discharge, negative=charge)"
17,0.5322,"Frequency regulation signal (positive=discharge, negative=charge)"
18,-0.0251,"Frequency regulation signal (positive=discharge, negative=charge)"
19,-0.2308,"Frequency regulation signal (positive=discharge, negative=charge)"
20,0.5951,"Frequency regulation signal (positive=discharge, negative=charge)"
21,0.4787,"Frequency regulation signal (positive=discharge, negative=charge)"
22,0.3434,"Frequency regulation signal (positive=discharge, negative=charge)"
23,-0.3992,"Frequency regulation signal (positive=discharge, negative=charge)"
24,-0.4197,"Frequency regulation signal (positive=discharge, negative=charge)"
25,-0.0729,"Frequency regulation signal (positive=discharge, negative=charge)"
26,-0.0792,"Frequency regulation signal (positive=discharge, negative=charge)"
27,0.111,"Frequency regulation signal (positive=discharge, negative=charge)"
28,-0.4084,"Frequency regulation signal (positive=discharge, negative=charge)"
29,-0.4034,"Frequency regulation signal (positive=discharge, negative=charge)"
30,-0.1149,"Frequency regulation signal (positive=discharge, negative=charge)"
31,0.7246,"Frequency regulation signal (positive=discharge, negative=charge)"
32,0.2961,"Frequency regulation signal (positive=discharge, negative=charge)"
33,-0.2369,"Frequency regulation signal (positive=discharge, negative=charge)"
34,0.0238,"Frequency regulation signal (positive=discharge, negative=charge)"
35,-0.1383,"Frequency regulation signal (positive=discharge, negative=charge)"
36,0.363,"Frequency regulation signal (positive=discharge, negative=charge)"
37,-0.2654,"Frequency regulation signal (positive=discharge, negative=charge)"
38,-0.5846,"Frequency regulation signal (positive=discharge, negative=charge)"
39,-0.4743,"Frequency regulation signal (positive=discharge, negative=charge)"
40,-0.1455,"Frequency regulation signal (positive=discharge, negative=charge)"
41,-0.0065,"Frequency regulation signal (positive=discharge, negative=charge)"
42,-0.1689,"Frequency regulation signal (positive=discharge, negative=charge)"
43,-0.5195,"Frequency regulation signal (positive=discharge, negative=charge)"
44,-0.7978,"Frequency regulation signal (positive=discharge, negative=charge)"
45,-0.2815,"Frequency regulation signal (positive=discharge, negative=charge)"
46,0.1369,"Frequency regulation signal (positive=discharge, negative=charge)"
47,0.4008,"Frequency regulation signal (positive=discharge, negative=charge)"
48,-0.0471,"Frequency regulation signal (positive=discharge, negative=charge)"
49,-0.561,"Frequency regulation signal (positive=discharge, negative=charge)"
50,0.1214,"Frequency regulation signal (positive=discharge, negative=charge)"
51,0.2179,"Frequency regulation signal (positive=discharge, negative=charge)"
52,-0.0144,"Frequency regulation signal (positive=discharge, negative=charge)"
53,-0.1804,"Frequency regulation signal (positive=discharge, negative=charge)"
54,-0.2686,"Frequency regulation signal (positive=discharge, negative=charge)"
55,-0.046,"Frequency regulation signal (positive=discharge, negative=charge)"
56,-0.1258,"Frequency regulation signal (positive=discharge, negative=charge)"
57,-0.1051,"Frequency regulation signal (positive=discharge, negative=charge)"
58,-0.2719,"Frequency regulation signal (positive=discharge, negative=charge)"
59,-0.1692,"Frequency regulation signal (positive=discharge, negative=charge)"
60,-0.0777,"Frequency regulation signal (positive=discharge, negative=charge)"
61,0.3624,"Frequency regulation signal (positive=discharge, negative=charge)"
62,0.1531,"Frequency regulation signal (positive=discharge, negative=charge)"
63,-0.1593,"Frequency regulation signal (positive=discharge, negative=charge)"
64,0.1562,"Frequency regulation signal (positive=discharge, negative=charge)"
65,0.5377,"Frequency regulation signal (positive=discharge, negative=charge)"
66,0.4955,"Frequency regulation signal (positive=discharge, negative=charge)"
67,0.5381,"Frequency regulation signal (positive=discharge, negative=charge)"
68,-0.0128,"Frequency regulation signal (positive=discharge, negative=charge)"
69,-0.3876,"Frequency regulation signal (positive=discharge, negative=charge)"
70,0.0509,"Frequency regulation signal (positive=discharge, negative=charge)"
71,0.5518,"Frequency regulation signal (positive=discharge, negative=charge)"
72,0.1441,"Frequency regulation signal (positive=discharge, negative=charge)"
73,0.1575,"Frequency regulation signal (positive=discharge, negative=charge)"
74,-0.7153,"Frequency regulation signal (positive=discharge, negative=charge)"
75,0.3375,"Frequency regulation signal (positive=discharge, negative=charge)"
76,0.556,"Frequency regulation signal (positive=discharge, negative=charge)"
77,0.4355,"Frequency regulation signal (positive=discharge, negative=charge)"
78,0.1996,"Frequency regulation signal (positive=discharge, negative=charge)"
79,-0.32,"Frequency regulation signal (positive=discharge, negative=charge)"
80,0.2845,"Frequency regulation signal (positive=discharge, negative=charge)"
81,0.6203,"Frequency regulation signal (positive=discharge, negative=charge)"
82,0.6499,"Frequency regulation signal (positive=discharge, negative=charge)"
83,-0.1931,"Frequency regulation signal (positive=discharge, negative=charge)"
84,-0.4471,"Frequency regulation signal (positive=discharge, negative=charge)"
85,-0.1697,"Frequency regulation signal (positive=discharge, negative=charge)"
86,0.358,"Frequency regulation signal (positive=discharge, negative=charge)"
87,0.1269,"Frequency regulation signal (positive=discharge, negative=charge)"
88,-0.369,"Frequency regulation signal (positive=discharge, negative=charge)"
89,-0.2177,"Frequency regulation signal (positive=discharge, negative=charge)"
90,0.0496,"Frequency regulation signal (positive=discharge, negative=charge)"
91,0.5736,"Frequency regulation signal (positive=discharge, negative=charge)"
92,0.1839,"Frequency regulation signal (positive=discharge, negative=charge)"
93,-0.0663,"Frequency regulation signal (positive=discharge, negative=charge)"
94,-0.1933,"Frequency regulation signal (positive=discharge, negative=charge)"
95,-0.1617,"Frequency regulation signal (positive=discharge, negative=charge)"
96,0.4053,"Frequency regulation signal (positive=discharge, negative=charge)"
97,0.2022,"Frequency regulation signal (positive=discharge, negative=charge)"
98,-0.2939,"Frequency regulation signal (positive=discharge, negative=charge)"
99,-0.5355,"Frequency regulation signal (positive=discharge, negative=charge)"
100,-0.5501,"Frequency regulation signal (positive=discharge, negative=charge)"
101,-0.0997,"Frequency regulation signal (positive=discharge, negative=charge)"
102,-0.1894,"Frequency regulation signal (positive=discharge, negative=charge)"
103,-0.5947,"Frequency regulation signal (positive=discharge, negative=charge)"
104,-0.5106,"Frequency regulation signal (positive=discharge, negative=charge)"
105,-0.0328,"Frequency regulation signal (positive=discharge, negative=charge)"
106,0.6293,"Frequency regulation signal (positive=discharge, negative=charge)"
107,0.2494,"Frequency regulation signal (positive=discharge, negative=charge)"
108,-0.0397,"Frequency regulation signal (positive=discharge, negative=charge)"
109,-0.1999,"Frequency regulation signal (positive=discharge, negative=charge)"
110,-0.3013,"Frequency regulation signal (positive=discharge, negative=charge)"
111,0.3138,"Frequency regulation signal (positive=discharge, negative=charge)"
112,0.157,"Frequency regulation signal (positive=discharge, negative=charge)"
113,0.213,"Frequency regulation signal (positive=discharge, negative=charge)"
114,-0.4882,"Frequency regulation signal (positive=discharge, negative=charge)"
115,-0.1473,"Frequency regulation signal (positive=discharge, negative=charge)"
116,0.0588,"Frequency regulation signal (positive=discharge, negative=charge)"
117,-0.2523,"Frequency regulation signal (positive=discharge, negative=charge)"
118,-0.086,"Frequency regulation signal (positive=discharge, negative=charge)"
119,-0.1897,"Frequency regulation signal (positive=discharge, negative=charge)"
120,0.1996,"Frequency regulation signal (positive=discharge, negative=charge)"
121,0.2421,"Frequency regulation signal (positive=discharge, negative=charge)"
122,0.6773,"Frequency regulation signal (positive=discharge, negative=charge)"
123,-0.1764,"Frequency regulation signal (positive=discharge, negative=charge)"
124,0.1351,"Frequency regulation signal (positive=discharge, negative=charge)"
125,0.7278,"Frequency regulation signal (positive=discharge, negative=charge)"
126,0.3361,"Frequency regulation signal (positive=discharge, negative=charge)"
127,0.2489,"Frequency regulation signal (positive=discharge, negative=charge)"
128,-0.0414,"Frequency regulation signal (positive=discharge, negative=charge)"
129,-0.3357,"Frequency regulation signal (positive=discharge, negative=charge)"
130,-0.3067,"Frequency regulation signal (positive=discharge, negative=charge)"
131,0.2824,"Frequency regulation signal (positive=discharge, negative=charge)"
132,-0.0371,"Frequency regulation signal (positive=discharge, negative=charge)"
133,-0.0365,"Frequency regulation signal (positive=discharge, negative=charge)"
134,-0.353,"Frequency regulation signal (positive=discharge, negative=charge)"
135,0.5059,"Frequency regulation signal (positive=discharge, negative=charge)"
136,0.4058,"Frequency regulation signal (positive=discharge, negative=charge)"
137,0.4541,"Frequency regulation signal (positive=discharge, negative=charge)"
138,0.3667,"Frequency regulation signal (positive=discharge, negative=charge)"
139,-0.146,"Frequency regulation signal (positive=discharge, negative=charge)"
140,0.3967,"Frequency regulation signal (positive=discharge, negative=charge)"
141,0.8327,"Frequency regulation signal (positive=discharge, negative=charge)"
142,0.0578,"Frequency regulation signal (positive=discharge, negative=charge)"
143,-0.0301,"Frequency regulation signal (positive=discharge, negative=charge)"
144,-0.2112,"Frequency regulation signal (positive=discharge, negative=charge)"
145,0.109,"Frequency regulation signal (positive=discharge, negative=charge)"
146,-0.0483,"Frequency regulation signal (positive=discharge, negative=charge)"
147,-0.1792,"Frequency regulation signal (positive=discharge, negative=charge)"
148,-0.1367,"Frequency regulation signal (positive=discharge, negative=charge)"
149,-0.2383,"Frequency regulation signal (positive=discharge, negative=charge)"
150,0.1027,"Frequency regulation signal (positive=discharge, negative=charge)"
151,0.472,"Frequency regulation signal (positive=discharge, negative=charge)"
152,0.2107,"Frequency regulation signal (positive=discharge, negative=charge)"
153,0.0677,"Frequency regulation signal (positive=discharge, negative=charge)"
154,-0.0344,"Frequency regulation signal (positive=discharge, negative=charge)"
155,0.0099,"Frequency regulation signal (positive=discharge, negative=charge)"
156,0.7404,"Frequency regulation signal (positive=discharge, negative=charge)"
157,0.2667,"Frequency regulation signal (positive=discharge, negative=charge)"
158,-0.5104,"Frequency regulation signal (positive=discharge, negative=charge)"
159,-0.3358,"Frequency regulation signal (positive=discharge, negative=charge)"
160,-0.4403,"Frequency regulation signal (positive=discharge, negative=charge)"
161,0.1629,"Frequency regulation signal (positive=discharge, negative=charge)"
162,0.1317,"Frequency regulation signal (positive=discharge, negative=charge)"
163,-0.5766,"Frequency regulation signal (positive=discharge, negative=charge)"
164,-0.2647,"Frequency regulation signal (positive=discharge, negative=charge)"
165,-0.0094,"Frequency regulation signal (positive=discharge, negative=charge)"
166,0.4388,"Frequency regulation signal (positive=discharge, negative=charge)"
167,0.6142,"Frequency regulation signal (positive=discharge, negative=charge)"
168,-0.1185,"Frequency regulation signal (positive=discharge, negative=charge)"
