time (s),power (W)
0,-108.7071007
1,-143.8310181
2,-117.6139422
3,-159.8977971
4,-116.0277873
5,37.31617114
6,7.681470127
7,89.71868267
8,45.19755093
9,53.58465156
10,-49.22581808
11,-92.24750964
12,-58.22405237
13,-101.5774202
14,-57.92379735
15,-57.0133264
16,-47.30262907
17,-74.74021754
18,-80.5849914
19,-49.13964428
20,-93.85823985
21,-73.55719659
22,-78.03658697
23,-72.76805306
24,-70.24807284
25,-80.25734087
26,-54.78013549
27,-56.46147222
28,-99.29249412
29,-104.6052741
30,-128.1587031
31,-122.6202123
32,-142.7759753
33,-130.0716452
34,-109.3708632
35,14.05373376
36,64.4375006
37,59.30315477
38,2.438639325
39,19.97749457
40,-59.55771219
41,-87.32924285
42,-46.24176388
43,-51.55884067
44,-95.39471338
45,-56.24831371
46,-86.12300479
47,-60.00551521
48,-51.26480774
49,-60.31984803
50,-90.50281671
51,-98.90887749
52,-97.30385147
53,-70.02256237
54,-87.0893636
55,-57.91401061
56,-63.46830701
57,-101.4691566
58,-45.81912118
59,-50.38703744
60,-119.2258578
61,-109.432739
62,-117.7975135
63,-139.4842443
64,-130.7569257
65,80.340454
66,73.56992056
67,30.76356165
68,23.34810901
69,34.17231674
70,-82.18858138
71,-61.88800937
72,-84.32138119
73,-70.79293409
74,-79.77897239
75,-72.47597134
76,-63.55134285
77,-104.7525583
78,-93.10716503
79,-53.82713007
80,-99.71348248
81,-75.70816549
82,-101.3567903
83,-95.39088112
84,-71.78845078
85,-46.41556642
86,-61.92667364
87,-79.12295552
88,-84.90912785
89,-61.24692418
90,-115.525228
91,-153.0862328
92,-161.1577178
93,-136.3872698
94,-117.2706814
95,24.50765939
96,1.655160889
97,82.28689259
98,10.59759746
99,51.8864828
100,-62.2654789
101,-79.91321416
102,-86.03948447
103,-97.27373363
104,-58.00454012
105,-45.69273721
106,-53.62379469
107,-101.7011744
108,-100.0550749
109,-82.63702544
110,-82.83256221
111,-86.8973105
112,-56.04839055
113,-102.6079526
114,-71.38254307
115,-69.13772728
116,-77.69181543
117,-47.95885591
118,-55.47585223
119,-91.49611783
120,-112.4711281
121,-140.5702139
122,-121.2488519
123,-129.0219632
124,-123.5894618
125,32.01054448
126,64.71413147
127,26.74095441
128,50.97641763
129,42.8445362
130,-86.81128342
131,-104.0202736
132,-91.15204212
133,-58.54124385
134,-46.96453751
135,-61.52263479
136,-82.48990963
137,-48.23982625
138,-76.27107357
139,-82.60109948
140,-66.05736512
141,-93.56746884
142,-51.71568995
143,-49.73368025
144,-90.87589164
145,-76.21595292
146,-88.36935097
147,-72.39412233
148,-60.52332809
149,-96.60344601
150,-151.1684575
151,-145.5136094
152,-122.6958374
153,-139.872456
154,-127.4925904
155,8.242386599
156,82.55822179
157,12.31367678
158,85.52136184
159,40.14051957
160,-56.66337452
161,-79.13975968
162,-99.99558766
163,-91.13016784
164,-95.81335232
165,-86.5033521
166,-88.61342356
167,-98.49932605
168,-60.72908456
169,-75.83377271
170,-58.93619483
171,-107.2230845
172,-104.4757384
173,-47.48388912
174,-89.45123587
175,-103.290644
176,-56.37624674
177,-80.78054952
178,-102.6757627
179,-47.13859665
180,-145.6606944
181,-124.0568464
182,-157.9173946
183,-160.4371452
184,-158.9903904
185,42.6792795
186,77.58383859
187,76.00944587
188,28.71904259
189,74.60239267
190,-47.33148099
191,-82.56500234
192,-59.49055675
193,-52.5957138
194,-49.8480517
195,-88.86619288
196,-66.41212272
197,-90.66030661
198,-49.11744947
199,-64.86329128
200,-78.98795142
201,-94.81555938
202,-65.08140768
203,-84.43115672
204,-100.8165981
205,-83.79938086
206,-59.67644691
207,-46.53724924
208,-99.81622906
209,-46.33997288
210,-155.2338903
211,-136.5626052
212,-158.7096557
213,-151.1342947
214,-161.888442
215,31.56406339
216,69.046946
217,36.17378222
218,43.18880583
219,56.47549169
220,-100.0416582
221,-106.9972586
222,-93.40122507
223,-71.31930728
224,-71.54549114
225,-91.467685
226,-60.04296018
227,-51.95986913
228,-67.34119593
229,-63.09605647
230,-63.66741159
231,-59.71728832
232,-47.65187095
233,-46.12605789
234,-107.2265106
235,-71.94970743
236,-69.21257877
237,-87.81777881
238,-58.74999494
239,-104.8475546
240,-150.4626308
241,-112.8281941
242,-130.5493619
243,-155.4723886
244,-159.0155292
245,42.06613601
246,55.20702503
247,15.03305515
248,89.20517635
249,20.85045312
250,-104.3921018
251,-85.92773889
252,-83.28741808
253,-77.29937619
254,-59.53219814
255,-56.12126602
256,-58.89063117
257,-56.74561052
258,-94.11382183
259,-67.05789133
260,-48.64408862
261,-106.0534657
262,-100.6785108
263,-103.4483938
264,-107.6791928
265,-55.9554007
266,-69.96324719
267,-92.76902397
268,-88.84929894
269,-54.6954421
270,-152.0549887
271,-120.1197909
272,-120.0861512
273,-136.9966188
274,-140.0187565
275,52.20775871
276,8.233815366
277,78.97147764
278,23.90400383
279,11.65634292
280,-100.991129
281,-105.2060444
282,-99.31403989
283,-95.99951271
284,-86.28024478
285,-79.70401435
286,-50.48016587
287,-70.73255242
288,-68.47937657
289,-61.36448838
290,-90.57546716
291,-76.24017131
292,-50.1059116
293,-58.87154172
294,-88.04530211
295,-49.79624415
296,-98.62603559
297,-76.1942312
298,-75.27695437
299,-82.32169043
300,-152.5327722
301,-126.7816972
302,-144.6128722
303,-138.5495261
304,-122.4195266
305,79.07669877
306,71.76834194
307,59.26066512
308,76.55235562
309,78.05647809
310,-89.62686753
311,-97.73183969
312,-88.94070209
313,-87.84886862
314,-83.97251683
315,-92.42114829
316,-54.99212163
317,-100.4948578
318,-99.92614225
319,-46.84257883
320,-97.02645529
321,-53.11880165
322,-66.11248782
323,-91.84102015
324,-55.12787345
325,-96.53192252
326,-97.42445321
327,-76.97046723
328,-45.40230992
329,-63.08340239
330,-141.3140536
331,-160.9840536
332,-142.1179305
333,-122.0293934
334,-142.236308
335,48.59868417
336,70.18608556
337,9.628257494
338,68.49251123
339,48.71399208
340,-105.6684962
341,-66.53794646
342,-84.85517927
343,-103.7177706
344,-51.45811286
345,-104.0453947
346,-88.3368005
347,-49.27373472
348,-63.96070472
349,-89.61484158
350,-49.24308789
351,-81.67673899
352,-66.79063259
353,-84.11767762
354,-47.88174813
355,-99.90681879
356,-106.3298051
357,-106.0393049
358,-92.2280654
359,-53.19543313
360,-148.9462126
361,-109.3276935
362,-109.1946718
363,-125.4749518
364,-134.3867323
365,69.3366676
366,61.49658389
367,40.13124357
368,24.62639997
369,89.74120501
370,-71.84942204
371,-73.43738253
372,-55.30830074
373,-95.07300157
374,-88.70198022
375,-58.90848561
376,-50.19000587
377,-87.87145603
378,-86.2342065
379,-62.2153502
380,-104.9044044
381,-54.51664718
382,-72.23709247
383,-104.447803
384,-71.44282097
385,-85.2271347
386,-70.04844707
387,-62.27555775
388,-106.9905918
389,-70.7880424
390,-156.281357
391,-120.4175487
392,-119.507654
393,-109.6812405
394,-143.1900086
395,33.16737094
396,77.79224249
397,42.5888916
398,87.13740851
399,16.69729641
400,-99.72325958
401,-93.92560173
402,-93.56807621
403,-98.22134337
404,-92.94451143
405,-84.45188026
406,-53.26842729
407,-47.04914931
408,-103.0134144
409,-83.84896981
410,-95.18184933
411,-75.33590815
412,-52.3904159
413,-52.88670491
414,-88.1906131
415,-72.10927138
416,-57.63305778
417,-75.97045644
418,-49.04516304
419,-81.66419832
