time,c_rate
0,-6.618392737
1,-8.756835196
2,-7.160666192
3,-9.735025699
4,-7.064096639
5,0.5
6,0.5
7,0.5
8,0.5
9,0.5
10,-2.997005667
11,-5.616286736
12,-3.544843371
13,-6.18431782
14,-3.526563005
15,-3.471130983
16,-2.879916534
17,-4.550393762
18,-4.906239963
19,-2.991759165
20,-5.714352502
21,-4.478368133
22,-4.751085965
23,-4.430322865
24,-4.276899412
25,-4.886291682
26,-3.335168066
27,-3.437532555
28,-6.045205121
29,-6.368662046
30,-7.802660767
31,-7.465461936
32,-8.692601236
33,-7.91912604
34,-6.658804457
35,0.5
36,0.5
37,0.5
38,0.5
39,0.5
40,-3.626040316
41,-5.31684888
42,-2.81532809
43,-3.139046616
44,-5.807897314
45,-3.424554868
46,-5.243409728
47,-3.653303818
48,-3.121145068
49,-3.67244128
50,-5.510064944
51,-6.021849467
52,-5.924130988
53,-4.263169703
54,-5.302244359
55,-3.52596716
56,-3.864128281
57,-6.177726429
58,-2.789596419
59,-3.067703954
60,-7.258804128
61,-6.662571629
62,-7.171842527
63,-8.492191434
64,-7.960847836
65,4.891351842
66,4.479142804
67,1.87297179
68,1.421498265
69,2.080506346
70,-5.003871012
71,-3.767915335
72,-5.133721838
73,-4.310072091
74,-4.857167269
75,-4.412540112
76,-3.869183735
77,-6.37762912
78,-5.668624964
79,-3.277146427
80,-6.070836072
81,-4.609325144
82,-6.170885254
83,-5.807663995
84,-4.370681935
85,-2.825909675
86,-3.770269324
87,-4.817227125
88,-5.169505501
89,-3.728884273
90,-7.033499422
91,-9.320318588
92,-9.811733199
93,-8.303638953
94,-7.139767513
95,1.49209494
96,0.10077083
97,5.009856474
98,0.645211413
99,3.158994387
100,-3.790896737
101,-4.865340284
102,-5.238324777
103,-5.922297329
104,-3.531478851
105,-2.781901809
106,-3.2647668
107,-6.191852323
108,-6.091633175
109,-5.031173543
110,-5.043078369
111,-5.290551629
112,-3.412382986
113,-6.247059519
114,-4.345969137
115,-4.209298465
116,-4.730095308
117,-2.919869462
118,-3.37752525
119,-5.570539898
120,-6.847557266
121,-8.558308304
122,-7.381969674
123,-7.85521846
124,-7.52447256
125,1.948891597
126,3.939977563
127,1.628064195
128,3.10358707
129,2.608495355
130,-5.285314059
131,-6.333045577
132,-5.549591605
133,-3.564154877
134,-2.859332573
135,-3.745670307
136,-5.02221672
137,-2.936975723
138,-4.643596564
139,-5.02898627
140,-4.021757389
141,-5.696649549
142,-3.14859604
143,-3.027925738
144,-5.532778791
145,-4.640240665
146,-5.380173575
147,-4.407556915
148,-3.684829716
149,-5.881488342
150,-9.203559056
151,-8.859276067
152,-7.470066204
153,-8.515826849
154,-7.76210596
155,0.50181958
156,5.026375756
157,0.749691128
158,5.206780021
159,2.443867249
160,-3.449824933
161,-4.818250209
162,-6.088011425
163,-5.548259838
164,-5.833385225
165,-5.266566338
166,-5.395033398
167,-5.996914828
168,-3.697356746
169,-4.616972463
170,-3.588200598
171,-6.528041674
172,-6.360775549
173,-2.890952153
174,-5.446041758
175,-6.288623683
176,-3.432343789
177,-4.918146089
178,-6.251187988
179,-2.869929781
180,-8.868231014
181,-7.552928244
182,-9.614453248
183,-9.767862721
184,-9.679780237
185,2.598434064
186,4.723521375
187,4.627667937
188,1.748495744
189,4.542002598
190,-2.88167312
191,-5.026788575
192,-3.621951705
193,-3.202174356
194,-3.034888992
195,-5.410422702
196,-4.043356026
197,-5.51965337
198,-2.990407882
199,-3.94905883
200,-4.809007697
201,-5.772636796
202,-3.962338367
203,-5.14040528
204,-6.13799684
205,-5.101940996
206,-3.633269218
207,-2.833318066
208,-6.077091571
209,-2.821307329
210,-9.451073991
211,-8.314313863
212,-9.662688323
213,-9.201479129
214,-9.856221735
215,1.921708578
216,4.203771446
217,2.20236117
218,2.629455454
219,3.4383861
220,-6.090816329
221,-6.514292761
222,-5.686528163
223,-4.342119165
224,-4.355889872
225,-5.568808828
226,-3.655583573
227,-3.163462352
228,-4.099920605
229,-3.841464625
230,-3.876250325
231,-3.635755758
232,-2.901179358
233,-2.808283585
234,-6.528250265
235,-4.380499691
236,-4.213855633
237,-5.346592317
238,-3.576864228
239,-6.383412761
240,-9.16058635
241,-6.869296444
242,-7.94821077
243,-9.465594435
244,-9.681310758
245,2.561104171
246,3.361158297
247,0.915254499
248,5.431060965
249,1.26943398
250,-6.355683519
251,-5.231521394
252,-5.070771268
253,-4.706202508
254,-3.624486949
255,-3.416819849
256,-3.585426555
257,-3.454831691
258,-5.729913049
259,-4.082672227
260,-2.961588348
261,-6.456832006
262,-6.129589699
263,-6.298227933
264,-6.555810825
265,-3.406721504
266,-4.259558429
267,-5.648037989
268,-5.409394152
269,-3.330011696
270,-9.257533559
271,-7.313229279
272,-7.311181199
273,-8.340737826
274,-8.524734033
275,3.178554564
276,0.501297739
277,4.808004727
278,1.455342699
279,0.709670802
280,-6.14862277
281,-6.405238624
282,-6.046516888
283,-5.844719191
284,-5.252982939
285,-4.852603613
286,-3.073373873
287,-4.306395886
288,-4.16921623
289,-3.736041911
290,-5.514488107
291,-4.641715148
292,-3.050588225
293,-3.584264336
294,-5.360444573
295,-3.031734804
296,-6.00462926
297,-4.638918186
298,-4.583071803
299,-5.011975064
300,-9.286622356
301,-7.718824791
302,-8.804436664
303,-8.435283172
304,-7.453243629
305,4.814410884
306,4.369457652
307,3.607955258
308,4.660721803
309,4.752296992
310,-5.456734705
311,-5.950188109
312,-5.414959031
313,-5.348485152
314,-5.112481999
315,-5.626858343
316,-3.348074376
317,-6.11840839
318,-6.083783394
319,-2.851907387
320,-5.907242331
321,-3.234021409
322,-4.025113414
323,-5.591538518
324,-3.356339327
325,-5.877133791
326,-5.931473559
327,-4.686177609
328,-2.764219782
329,-3.840694209
330,-8.603595349
331,-9.801160037
332,-8.652537626
333,-7.429491227
334,-8.659744779
335,2.958823998
336,4.273125453
337,0.586195281
338,4.170015904
339,2.965844267
340,-6.433393985
341,-4.051016527
342,-5.16622096
343,-6.314628347
344,-3.132914025
345,-6.33457502
346,-5.378191811
347,-2.999922966
348,-3.894106832
349,-5.456002532
350,-2.998057101
351,-4.972708614
