temperature_C,soc,soc_pct,c_rate,dcir_mohm,success
0.0,0.1,10.0,0.1,0.34609644138161244,True
0.0,0.1,10.0,2.0,0.4008496147559536,True
0.0,0.1,10.0,10.0,0.7138331384400715,True
0.0,0.1,10.0,30.0,,True
0.0,0.3,30.0,0.1,0.16087006097894657,True
0.0,0.3,30.0,2.0,0.16333904395502294,True
0.0,0.3,30.0,10.0,0.17480625860025184,True
0.0,0.3,30.0,30.0,,True
0.0,0.5,50.0,0.1,0.10003919515008562,True
0.0,0.5,50.0,2.0,0.10446875717741144,True
0.0,0.5,50.0,10.0,0.12352380012972933,True
0.0,0.5,50.0,30.0,,True
0.0,0.7,70.0,0.1,0.09358624142021514,True
0.0,0.7,70.0,2.0,0.09444710336812508,True
0.0,0.7,70.0,10.0,0.09631996110213512,True
0.0,0.7,70.0,30.0,,True
0.0,0.9,90.0,0.1,0.09938295689603925,True
0.0,0.9,90.0,2.0,0.09976880486860742,True
0.0,0.9,90.0,10.0,0.10065037015584355,True
0.0,0.9,90.0,30.0,,True
15.0,0.1,10.0,0.1,0.31993210232464375,True
15.0,0.1,10.0,2.0,0.37496239866494996,True
15.0,0.1,10.0,10.0,0.7232083669628951,True
15.0,0.1,10.0,30.0,,True
15.0,0.3,30.0,0.1,0.14026153616168463,True
15.0,0.3,30.0,2.0,0.14438864121187361,True
15.0,0.3,30.0,10.0,0.1532379387196528,True
15.0,0.3,30.0,30.0,,True
15.0,0.5,50.0,0.1,0.08365076188308497,True
15.0,0.5,50.0,2.0,0.08834816882998266,True
15.0,0.5,50.0,10.0,0.10364749555171458,True
15.0,0.5,50.0,30.0,,True
15.0,0.7,70.0,0.1,0.07730828406815979,True
15.0,0.7,70.0,2.0,0.07898002640167676,True
15.0,0.7,70.0,10.0,0.08040896084687299,True
15.0,0.7,70.0,30.0,,True
15.0,0.9,90.0,0.1,0.08233066361428243,True
15.0,0.9,90.0,2.0,0.08352294665985088,True
15.0,0.9,90.0,10.0,0.08328293061356896,True
15.0,0.9,90.0,30.0,,True
25.0,0.1,10.0,0.1,0.30067904604265383,True
25.0,0.1,10.0,2.0,0.3571184615076185,True
25.0,0.1,10.0,10.0,0.6910062831516852,True
25.0,0.1,10.0,30.0,,True
25.0,0.3,30.0,0.1,0.12843467205215195,True
25.0,0.3,30.0,2.0,0.1323064914255517,True
25.0,0.3,30.0,10.0,0.14030846557702856,True
25.0,0.3,30.0,30.0,,True
25.0,0.5,50.0,0.1,0.0729358676344513,True
25.0,0.5,50.0,2.0,0.07851702706559176,True
25.0,0.5,50.0,10.0,0.09200615468366244,True
25.0,0.5,50.0,30.0,0.31813708444182826,True
25.0,0.7,70.0,0.1,0.0668332469970567,True
25.0,0.7,70.0,2.0,0.06963200379556873,True
25.0,0.7,70.0,10.0,0.07149768213421911,True
25.0,0.7,70.0,30.0,0.33051069110475184,True
25.0,0.9,90.0,0.1,0.07118995581829975,True
25.0,0.9,90.0,2.0,0.07372850155626776,True
25.0,0.9,90.0,10.0,0.073437111795144,True
25.0,0.9,90.0,30.0,0.34697320462830944,True
45.0,0.1,10.0,0.1,0.27354301389418556,True
45.0,0.1,10.0,2.0,0.32244656321576226,True
45.0,0.1,10.0,10.0,0.6269199481881611,True
45.0,0.1,10.0,30.0,,True
45.0,0.3,30.0,0.1,0.10878503987870507,True
45.0,0.3,30.0,2.0,0.11368675619742859,True
45.0,0.3,30.0,10.0,0.12092814810012836,True
45.0,0.3,30.0,30.0,0.3035671029556597,True
45.0,0.5,50.0,0.1,0.06077370588649379,True
45.0,0.5,50.0,2.0,0.06502387369499661,True
45.0,0.5,50.0,10.0,0.07575656102462648,True
45.0,0.5,50.0,30.0,0.10049508900246765,True
45.0,0.7,70.0,0.1,0.05483193799879469,True
45.0,0.7,70.0,2.0,0.05718289195387955,True
45.0,0.7,70.0,10.0,0.060115057198514225,True
45.0,0.7,70.0,30.0,0.08809465930030018,True
45.0,0.9,90.0,0.1,0.058284608022909655,True
45.0,0.9,90.0,2.0,0.0604364648485022,True
45.0,0.9,90.0,10.0,0.060571206642933854,True
45.0,0.9,90.0,30.0,0.0631878101685665,True
